indice_tiempo,medio_de_transporte,pais_destino,viajes_de_turistas_residentes
2016-01-01,Aérea,Bolivia,4196
2016-01-01,Aérea,Brasil,104681
2016-01-01,Aérea,Chile,28185
2016-01-01,Aérea,Paraguay,3093
2016-01-01,Aérea,Uruguay,15601
2016-01-01,Aérea,EE.UU. y Canadá,55222
2016-01-01,Aérea,Resto de América,76330
2016-01-01,Aérea,Europa,32038
2016-01-01,Aérea,Resto del mundo,12649
2016-01-01,Fluvial/Marítima,Bolivia,6496
2016-01-01,Fluvial/Marítima,Brasil,27243
2016-01-01,Fluvial/Marítima,Chile,11519
2016-01-01,Fluvial/Marítima,Paraguay,9920
2016-01-01,Fluvial/Marítima,Uruguay,102277
2016-01-01,Fluvial/Marítima,EE.UU. y Canadá,1210
2016-01-01,Fluvial/Marítima,Resto de América,334
2016-01-01,Fluvial/Marítima,Europa,733
2016-01-01,Fluvial/Marítima,Resto del mundo,84
2016-01-01,Terrestre,Bolivia,50456
2016-01-01,Terrestre,Brasil,361086
2016-01-01,Terrestre,Chile,335435
2016-01-01,Terrestre,Paraguay,128491
2016-01-01,Terrestre,Uruguay,168571
2016-01-01,Terrestre,EE.UU. y Canadá,279
2016-01-01,Terrestre,Resto de América,3666
2016-01-01,Terrestre,Europa,520
2016-01-01,Terrestre,Resto del mundo,234
2016-02-01,Aérea,Bolivia,6287
2016-02-01,Aérea,Brasil,101688
2016-02-01,Aérea,Chile,28663
2016-02-01,Aérea,Paraguay,2604
2016-02-01,Aérea,Uruguay,12678
2016-02-01,Aérea,EE.UU. y Canadá,60999
2016-02-01,Aérea,Resto de América,86741
2016-02-01,Aérea,Europa,43823
2016-02-01,Aérea,Resto del mundo,15606
2016-02-01,Fluvial/Marítima,Bolivia,4774
2016-02-01,Fluvial/Marítima,Brasil,27396
2016-02-01,Fluvial/Marítima,Chile,12530
2016-02-01,Fluvial/Marítima,Paraguay,9692
2016-02-01,Fluvial/Marítima,Uruguay,100631
2016-02-01,Fluvial/Marítima,EE.UU. y Canadá,718
2016-02-01,Fluvial/Marítima,Resto de América,1080
2016-02-01,Fluvial/Marítima,Europa,369
2016-02-01,Fluvial/Marítima,Resto del mundo,116
2016-02-01,Terrestre,Bolivia,63329
2016-02-01,Terrestre,Brasil,328557
2016-02-01,Terrestre,Chile,313945
2016-02-01,Terrestre,Paraguay,97491
2016-02-01,Terrestre,Uruguay,177215
2016-02-01,Terrestre,EE.UU. y Canadá,230
2016-02-01,Terrestre,Resto de América,3023
2016-02-01,Terrestre,Europa,429
2016-02-01,Terrestre,Resto del mundo,193
2016-03-01,Aérea,Bolivia,4249
2016-03-01,Aérea,Brasil,98355
2016-03-01,Aérea,Chile,25517
2016-03-01,Aérea,Paraguay,2338
2016-03-01,Aérea,Uruguay,7081
2016-03-01,Aérea,EE.UU. y Canadá,70368
2016-03-01,Aérea,Resto de América,70845
2016-03-01,Aérea,Europa,45705
2016-03-01,Aérea,Resto del mundo,16015
2016-03-01,Fluvial/Marítima,Bolivia,6323
2016-03-01,Fluvial/Marítima,Brasil,10690
2016-03-01,Fluvial/Marítima,Chile,4854
2016-03-01,Fluvial/Marítima,Paraguay,7566
2016-03-01,Fluvial/Marítima,Uruguay,63288
2016-03-01,Fluvial/Marítima,EE.UU. y Canadá,95
